Substratum	Treatment_2	TH	n	SL	RL	NL	SDM	LDM	RDM	TDM	SMR	LMR	RMR	RAB	RLR
Soil	3_Soil	Without	1	8	3.3	4	0.0084	0.0115	0.0028	0.0227	0.37004	0.50661	0.12335	7.10714	0.24348
Soil	3_Soil	Without	1	8.5	6.8	2	0.0112	0.0103	0.0061	0.0276	0.4058	0.37319	0.22101	3.52459	0.59223
Soil	3_Soil	Without	1	13	11	3	0.035	0.0314	0.0205	0.0869	0.40276	0.36133	0.2359	3.23902	0.65287
Soil	3_Soil	Without	1	10	4.5	4	0.0133	0.0143	0.0039	0.0315	0.42222	0.45397	0.12381	7.07692	0.27273
Soil	3_Soil	Without	2	12.65	10	2	0.0265	0.02	0.0108	0.0573	0.46248	0.34904	0.18848	2.15278	0.54
Soil	3_Soil	Without	3	6.2	8.267	2	0.00787	0.00693	0.00637	0.02117	0.37165	0.32756	0.30079	0.77487	0.91827
Soil	3_Soil	Without	2	8.15	8.75	3	0.01465	0.01725	0.0074	0.0393	0.37277	0.43893	0.1883	2.15541	0.42899
Soil	3_Soil	Without	2	9.7	6.75	4	0.01245	0.01195	0.0053	0.0297	0.41919	0.40236	0.17845	2.30189	0.44351
Soil	3_Soil	Without	1	12	8.4	4	0.018	0.0229	0.0069	0.0478	0.37657	0.47908	0.14435	5.92754	0.30131
Soil	3_Soil	Without	1	13.5	12.2	3	0.0236	0.0276	0.0164	0.0676	0.34911	0.40828	0.2426	3.12195	0.5942
Soil	3_Soil	Without	1	10	3	2	0.0174	0.0152	0.002	0.0346	0.50289	0.43931	0.0578	16.3	0.13158
Soil	3_Soil	Without	2	7.65	8.25	2	0.01495	0.015	0.008	0.03795	0.39394	0.39526	0.2108	1.87188	0.53333
Soil	3_Soil	Without	3	6.5	2.933	2	0.00907	0.0098	0.00267	0.02153	0.42105	0.45511	0.12384	2.35833	0.27211
Soil	3_Soil	Without	1	9	5.5	2	0.0126	0.014	0.004	0.0306	0.41176	0.45752	0.13072	6.65	0.28571
Soil	3_Soil	Without	1	9	9	3	0.0206	0.0345	0.0125	0.0676	0.30473	0.51036	0.18491	4.408	0.36232
Soil	3_Soil	Without	1	8.5	10	4	0.0318	0.0615	0.0264	0.1197	0.26566	0.51378	0.22055	3.53409	0.42927
Soil	3_Soil	Without	2	7.75	8.75	4	0.01775	0.0275	0.0133	0.05855	0.30316	0.46968	0.22716	1.70113	0.48364
Soil	3_Soil	Without	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Soil	4_Soil+Trichoderma	With	1	6	9.1	3	0.0088	0.0138	0.0062	0.0288	0.30556	0.47917	0.21528	3.64516	0.44928
Soil	4_Soil+Trichoderma	With	1	10.8	14.6	3	0.0274	0.0324	0.0144	0.0742	0.36927	0.43666	0.19407	4.15278	0.44444
Soil	4_Soil+Trichoderma	With	1	10.2	4.6	3	0.0243	0.0259	0.0081	0.0583	0.41681	0.44425	0.13894	6.19753	0.31274
Soil	4_Soil+Trichoderma	With	2	9.45	6.65	3	0.0145	0.0158	0.00595	0.03625	0.4	0.43586	0.16414	2.54622	0.37658
Soil	4_Soil+Trichoderma	With	3	9.633	8.667	3	0.01293	0.01273	0.007	0.03267	0.39592	0.3898	0.21429	1.22222	0.54974
Soil	4_Soil+Trichoderma	With	3	8.3	6.867	3	0.01103	0.0101	0.00367	0.0248	0.44489	0.40726	0.14785	1.92121	0.36304
