Genotype	Pollination	Season	Period	Repetition	Esp_Total	Esp_Epi_Par_Col	Esp_Par	Esp_Par_Col_End	Area_celulas_1	Area_celulas_2	Area_celulas_3
Salada	Natural	Winter	21	2	3131.2923	74.2742	3001.8310	60.1043	18102.1161	219615.7750	2495.4503
Salada	Natural	Winter	21	3	3105.1887	59.0845	2986.1097	74.7441	24884.7610	343166.4660	1647.7695
Salada	Natural	Winter	21	4	3602.0913	94.1433	3365.0850	149.9414	23720.0970	11958.2268	2757.0580
Salada	Natural	Winter	28	1	4886.7377	135.1773	4543.1263	198.7506	26907.8800	397575.4900	4154.5940
Salada	Natural	Winter	28	2	5064.3710	121.1065	4671.5370	259.9817	39894.2800	595681.9800	3902.5646
Salada	Natural	Winter	28	3	5118.8873	109.5726	4865.0747	98.0386	33072.4240	571359.0700	1206.8678
Salada	Natural	Winter	28	4	3242.1240	83.2418	3069.0047	94.5784	38203.4080	498865.3100	1241.8884
Salada	Natural	Winter	35	3	6438.9017	132.6405	6173.4653	149.9414	31198.0690	570701.1800	7960.4761
Salada	Natural	Winter	35	4	5051.9840	98.0386	4815.6170	115.3396	30734.1190	547417.1300	6239.0738
Salada	Natural	Winter	42	2	6289.1597	100.8309	6117.7370	135.1981	37997.7730	716176.5800	10743.2781
Salada	Natural	Winter	42	4	6162.7403	80.7377	5907.7730	170.8322	26585.2130	566071.5200	5513.2178
Salada	Natural	Winter	49	2	6217.3020	106.6319	5968.2903	114.5334	30462.3330	865131.3500	4401.5348
Salada	Natural	Winter	49	3	6964.7523	93.3200	6671.4297	183.8839	37574.8300	538966.9500	16737.5061
Salada	Natural	Winter	49	4	7813.2063	104.1646	7553.2087	150.5484	25739.6254	667747.7000	5811.3430
Salada	Natural	Winter	56	1	6619.9203	92.8427	6398.0687	106.2483	29438.3500	584287.7000	10485.8603
Salada	Natural	Winter	56	2	9258.9637	150.3513	9063.6110	98.4485	35633.1270	520741.5700	8658.7966
Salada	Natural	Winter	56	3	5849.9950	98.0386	5543.9150	207.6112	24767.1290	669591.2600	8520.8086
Salada	Natural	Winter	56	4	5529.1330	98.0386	5303.7290	109.9316	46316.5380	621567.1400	6283.0755
Salada	Natural	Summer	14	1	3645.6387	103.8056	3379.7950	127.2325	460.0584	5949.3306	3769.6654
Salada	Natural	Summer	14	2	3417.4603	117.3648	3122.0910	192.4401	18994.3980	269777.7200	1761.8111
Salada	Natural	Summer	14	4	3589.3330	109.5726	3240.6847	248.1858	22751.4925	349021.2180	2657.3836
Salada	Natural	Summer	21	1	5182.0643	109.5726	4897.6450	208.0943	28972.6070	525277.1600	3681.9640
Salada	Natural	Summer	21	2	5941.4250	103.8056	5571.7910	242.2131	24628.2400	481530.9200	3883.4079
Salada	Natural	Summer	21	3	4764.1843	74.9707	4596.8443	98.0386	23703.3357	464911.0400	3332.0563
Salada	Natural	Summer	21	4	4923.4263	122.7219	4545.3463	288.5546	25732.1440	386652.3200	3991.4635
Salada	Natural	Summer	28	1	6005.4670	92.7489	5816.0927	81.3087	29203.0850	562625.4200	4962.7642
Salada	Natural	Summer	28	2	5712.5457	98.0386	5514.7753	99.9103	25622.5920	718819.0500	7853.3211
Salada	Natural	Summer	28	3	5428.4040	92.2716	5185.8163	179.0639	29976.5330	494629.5600	8455.5572
Salada	Natural	Summer	28	4	7327.0277	110.1436	7084.3957	115.8169	34387.3460	592444.5400	13347.9806
